Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Year,Genre
7001,Hot Wheels: Beat That!,PS2,Activision  ,Eutechnyx  ,,,0.2,0.15,,0.05,0.4,2007,Racing
7002,MLB 2006,PS2,Sony Computer Entertainment  ,989 Sports  ,,,0.33,0.01,,0.05,0.4,2005,Sports
7003,Savage Lands,PC,Unknown  ,Last Bastion Studios LLC  ,,,,,,,,N/A,Role-Playing
7004,Brunswick Pro Bowling,PS2,Crave Entertainment  ,Point of View  ,,,0.2,0.15,,0.05,0.4,2007,Sports
7005,My Virtual Tutor: Reading Adventure First to Second Grade,DS,Mentor Interactive  ,1st Playable Productions  ,,,0.37,,,0.03,0.4,2009,Misc
7006,Rocket Power: Dream Scheme,GBA,THQ  ,Helixe  ,,,0.29,0.11,,0.01,0.4,2001,Action
7007,Sega Superstars Tennis,PS3,Sega  ,Sumo Digital  ,6.8,,0.13,0.2,,0.07,0.4,2008,Sports
7008,MX vs. ATV Unleashed,XB,THQ  ,Rainbow Studios  ,,,0.32,0.07,,0.01,0.4,2005,Racing
7009,Rampage: Total Destruction,GC,Midway Games  ,"Pipeworks Software, Inc.  ",,,0.31,0.08,,0.01,0.4,2006,Action
7010,Spore Hero,Wii,Electronic Arts  ,Maxis  ,5.8,,0.35,0.02,,0.03,0.4,2009,Simulation
7011,The Urbz: Sims in the City,GC,Electronic Arts  ,Maxis  ,7.6,,0.24,0.14,,0.02,0.4,2004,Simulation
7012,Road Rash: Jailbreak,PS,Electronic Arts  ,Electronic Arts  ,,,0.22,0.15,,0.03,0.4,1999,Racing
7013,WWE SmackDown! vs. RAW 2006,PSP,THQ  ,Yuke's  ,8.1,,0.36,0.01,,0.03,0.4,2005,Fighting
7014,Mother 3,GBA,Nintendo  ,Brownie Brown / HAL Laboratory / Nintendo SPD Production Group No. 3  ,,,,,0.39,0.01,0.4,2006,Role-Playing
7015,Nicktoons: Freeze Frame Frenzy,GBA,THQ  ,Altron  ,,,0.29,0.11,,0.01,0.4,2004,Action
7016,Winter Sports 2: The Next Challenge,Wii,Crave Entertainment  ,49Games  ,,,0.17,0.19,,0.04,0.4,2008,Sports
7017,Rocket League,NS,505 Games  ,Psyonix Studios  ,9.2,,0.21,0.16,,0.03,0.4,2018,Sports
7018,Transformers: The Game,PS3,Activision  ,Traveller's Tales  ,,,0.32,0.03,0.01,0.04,0.4,2007,Action
7019,The Darkness II,X360,2K Games  ,Digital Extremes  ,,,0.25,0.11,,0.03,0.4,2012,Shooter
7020,The Lego Ninjago Movie Videogame,NS,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,0.21,0.15,,0.03,0.4,2017,Action
7021,Tales of Eternia,PSP,Ubisoft  ,Namco  ,8.0,,,0.01,0.25,0.0,0.26,2006,Role-Playing
7022,Ghostbusters: The Video Game,DS,Atari  ,Zen Studios Inc.  ,,,0.24,0.12,,0.04,0.4,2009,Action
7023,You Don't Know Jack,PS,Sierra Entertainment  ,"Starsphere Interactive, Inc.  ",8.5,,0.22,0.15,,0.03,0.4,1999,Misc
7024,Momotaro Dentetsu 2017: Tachiagare Nippon!!,3DS,Nintendo  ,Valhalla Game Studios  ,,,,,0.4,,0.4,2016,Party
7025,Fushigi no Dungeon 2: Fuurai no Shiren,SNES,ChunSoft  ,ChunSoft  ,,,,,0.4,0.0,0.4,1995,Role-Playing
7026,Farming Simulator 2015,X360,Focus Home Interactive  ,Giants Software  ,,,0.24,0.12,,0.04,0.4,2015,Simulation
7027,Tales of Legendia,PS2,Namco  ,Namco / Team MelFes  ,7.2,8.5,0.07,0.05,0.35,0.02,0.49,2006,Role-Playing
7028,WipeOut 3 The Game,Wii,Activision  ,Behaviour Interactive  ,,,0.36,,,0.04,0.4,2012,Party
7029,Star Wars The Clone Wars: Republic Heroes,DS,LucasArts  ,Krome Studios  ,5.9,,0.22,0.14,,0.04,0.4,2009,Action
7030,NBA Live 2002,XB,EA Sports  ,EA Canada  ,,,0.35,0.03,,0.02,0.4,2001,Sports
7031,Star Wars: Clone Wars,GC,LucasArts  ,Pandemic Studios  ,7.3,,0.31,0.08,,0.01,0.4,2002,Shooter
7032,Castlevania: Portrait of Ruin,DS,Konami  ,Konami  ,8.5,,0.31,0.02,0.04,0.03,0.4,2006,Platform
7033,Boku no Natsuyasumi,PS,Sony Computer Entertainment  ,Millennium Kitchen  ,,,,,0.37,0.03,0.4,2000,Adventure
7034,Destiny: The Taken King,X360,Activision  ,Bungie  ,,,0.28,0.08,,0.04,0.4,2015,Shooter
7035,Disney Sing It,PS3,Disney Interactive Studios  ,Zoe Mode  ,,,0.29,0.06,,0.04,0.4,2008,Misc
7036,I-Ninja,PS2,Namco  ,Argonaut Games  ,7.2,,0.19,0.15,,0.05,0.4,2003,Platform
7037,Armored Core V,PS3,Namco Bandai  ,From Software  ,,,0.09,0.04,0.24,0.02,0.4,2012,Simulation
7038,Speed Racer: The Videogame,Wii,Warner Bros. Interactive  ,Sidhe Interactive  ,,,0.35,0.02,,0.03,0.4,2008,Racing
7039,Robot Roller-Derby Disco Dodgeball,PC,Unknown  ,Erik Asmussen  ,,,,,,,,N/A,Sports
7040,Command & Conquer,PS,Westwood Studios  ,Westwood Studios  ,8.4,,0.22,0.15,,0.03,0.4,1997,Strategy
7041,Harvest Moon: Save the Homeland,PS2,Natsume  ,Victor Interactive Software  ,7.8,,0.19,0.15,,0.05,0.4,2001,Simulation
7042,Littlest Pet Shop,Wii,Electronic Arts  ,EA Salt Lake  ,,,0.33,0.04,,0.03,0.4,2008,Simulation
7043,SD Gundam G Generation Seed,PS2,Bandai  ,Bandai  ,,,,,0.4,,0.4,2004,Strategy
7044,Call of Duty: Finest Hour,GC,Activision  ,EXAKT Entertainment  ,7.7,,0.31,0.08,,0.01,0.4,2004,Shooter
7045,Naruto: Path of the Ninja,DS,D3 Publisher  ,TOSE  ,,,0.37,,,0.03,0.4,2007,Role-Playing
7046,Sherlock Holmes: The Mystery of the Mummy,DS,Focus Home Interactive  ,Frogwares  ,,,0.06,0.3,,0.04,0.4,2009,Adventure
7047,No More Heroes 2: Desperate Struggle,Wii,Ubisoft  ,Grasshopper Manufacture  ,8.5,,0.2,0.11,0.04,0.03,0.4,2010,Action
7048,Suzuki TT Superbikes,PS2,Valcon Games  ,Jester Interactive  ,,,0.33,0.01,,0.05,0.4,2005,Racing
7049,Tales of Destiny,PS2,Namco Bandai  ,Namco Tales Studio  ,,,,,0.52,,0.52,2006,Role-Playing
7050,Planet 51,DS,Sega  ,Firebrand Games  ,,,0.22,0.14,,0.04,0.39,2009,Action
7051,Skylanders Giants,WiiU,Activision  ,Unknown  ,,,0.23,0.13,,0.04,0.39,2012,Misc
7052,Rumble Roses,PS2,Konami  ,Yuke's Future Media Creators  ,,,0.19,0.15,,0.05,0.39,2004,Fighting
7053,Tomb Raider: Anniversary,X360,Eidos Interactive  ,Crystal Dynamics  ,7.9,,0.12,0.22,,0.05,0.39,2007,Action
7054,Harry Potter and the Deathly Hallows - Part 1,PS3,Electronic Arts  ,EA Bright Light  ,,,0.13,0.2,,0.07,0.39,2010,Action
7055,Fishing Resort,Wii,Xseed Games  ,Bandai Namco Games  ,,,0.14,,0.25,0.01,0.39,2011,Sports
7056,Fantastic Four: Rise of the Silver Surfer,PS2,2K Games  ,7 Studios  ,,,0.19,0.15,,0.05,0.39,2007,Action
7057,Ultimate Spider-Man,XB,Activision  ,Treyarch  ,,,0.26,0.11,,0.02,0.39,2005,Action
7058,Juiced 2: Hot Import Nights,PS2,THQ  ,Juice Games  ,,,0.19,0.15,0.01,0.05,0.39,2007,Racing
7059,Tower Wars,PC,Unknown  ,SuperVillain Studios  ,,,,,,,,N/A,Strategy
7060,NHL 99,N64,EA Sports  ,MBL Research  ,,,0.38,0.01,,0.0,0.39,1998,Sports
7061,Combat of Giants: Dinosaurs 3D,3DS,Ubisoft  ,Ubisoft  ,4.3,,0.25,0.07,0.05,0.03,0.39,2011,Strategy
7062,Legends of WrestleMania,X360,THQ  ,Yuke's  ,,,0.2,0.15,,0.04,0.39,2009,Fighting
7063,Danball Senki,PSP,Level 5  ,Level 5  ,,,,,0.39,,0.39,2011,Role-Playing
7064,NBA Jam,X360,EA Sports  ,EA Tiburon  ,,,0.27,0.09,,0.03,0.39,2010,Sports
7065,NASCAR Heat,PS,Hasbro Interactive  ,Monster Games Inc.  ,,,0.22,0.15,,0.03,0.39,2000,Racing
7066,Bloody Roar,PS,Sony Computer Entertainment  ,Eighting / Raizing  ,8.6,,0.22,0.15,,0.03,0.39,1998,Fighting
7067,Bump 'n' Jump,2600,Mattel Interactive  ,Mattel  ,,,0.37,0.02,,0.0,0.39,1983,Racing
7068,Mobile Suit Gundam: Lost War Chronicles,PS2,Bandai  ,Bandai  ,,,,,0.39,,0.39,2002,Shooter
7069,Disney's Brother Bear,GBA,THQ  ,Vicarious Visions  ,,,0.28,0.1,,0.01,0.39,2003,Action
7070,FIFA Soccer 12,3DS,EA Sports  ,EA Canada  ,7.0,,0.08,0.27,,0.04,0.39,2011,Sports
7071,Trine 3: The Artifacts of Power,PC,Frozenbyte  ,Frozenbyte  ,,,,,,,,2015,Action-Adventure
7072,NBA Live 09,PS2,Electronic Arts  ,EA Canada  ,,,0.32,0.01,0.01,0.05,0.39,2008,Sports
7073,Ener-G: Gym Rockets,DS,Ubisoft  ,Mud Duck Productions  ,,,0.36,,,0.03,0.39,2008,Sports
7074,Super Monkey Ball: Step & Roll,Wii,Sega  ,Sega  ,6.0,,0.15,0.19,,0.04,0.39,2010,Action
7075,The House of The Dead III,XB,Sega  ,Wow Entertainment  ,6.8,,0.29,0.08,,0.01,0.39,2002,Shooter
7076,Dancing with the Stars: We Dance!,DS,Activision  ,Zoe Mode  ,,,0.36,,,0.03,0.39,2008,Misc
7077,LEGO Marvel's Avengers,X360,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,0.19,0.17,,0.03,0.39,2016,Action
7078,Fire Emblem: Fuuin no Tsurugi,GBA,Nintendo  ,Intelligent Systems  ,,7.0,,,0.39,,0.39,2002,Role-Playing
7079,Iron Man 2,PS3,Sega  ,"Sega Studios, San Francisco  ",,,0.14,0.19,,0.07,0.39,2010,Action
7080,One Piece Unlimited World: Red,3DS,Namco Bandai Games  ,Ganbarion  ,,,0.05,0.05,0.28,0.01,0.39,2014,Action-Adventure
7081,Just Dance 2018,Wii,Ubisoft  ,Ubisoft Paris  ,,,0.14,0.22,,0.03,0.39,2017,Music
